Time,Irradiation,Temperature,Incidence_Angle,Load_Signal
2024-09-19 19:44:16,0,25,90,0
2024-09-19 19:44:18,0,25,90,0
2024-09-19 19:44:20,0,25,90,0
2024-09-19 19:44:22,0,25,90,0
2024-09-19 19:44:24,0,25,90,0
2024-09-19 19:44:26,0,25,90,0
2024-09-19 19:44:28,0,25,90,0
2024-09-19 19:44:30,0,25,90,0
2024-09-19 19:44:32,0,25,90,0
2024-09-19 19:44:34,0,25,90,0
2024-09-19 19:44:36,0,25,90,0
2024-09-19 19:44:38,0,25,90,0
2024-09-19 19:44:40,0,25,90,0
2024-09-19 19:44:42,0,25,90,0
2024-09-19 19:44:44,0,25,90,0
2024-09-19 19:44:46,0,25,90,0
2024-09-19 19:44:48,0,25,90,0
2024-09-19 19:44:51,0,25,90,0
2024-09-19 19:44:53,0,25,90,0
2024-09-19 19:44:55,0,25,90,0
2024-09-19 19:44:57,0,25,90,0
2024-09-19 19:44:59,0,25,90,0
2024-09-19 19:45:01,0,25,90,0
2024-09-19 19:45:03,0,25,90,0
2024-09-19 19:45:05,0,25,90,0
2024-09-19 19:45:07,0,25,90,0
2024-09-19 19:45:09,0,25,90,0
2024-09-19 19:45:11,0,25,90,0
2024-09-19 19:45:13,0,25,90,0
2024-09-19 19:45:15,0,25,90,0
2024-09-19 19:45:17,0,25,90,0
2024-09-19 19:45:19,0,25,90,0
2024-09-19 19:45:21,0,25,90,0
2024-09-19 19:45:23,0,25,90,0
2024-09-19 19:45:25,0,25,90,0
2024-09-19 19:45:27,0,25,90,0
2024-09-19 19:45:29,0,25,90,0
2024-09-19 19:45:31,0,25,90,0
2024-09-19 19:45:33,0,25,90,0
2024-09-19 19:45:36,0,25,90,0
2024-09-19 19:45:38,0,25,90,0
2024-09-19 19:45:40,0,25,90,0
2024-09-19 19:45:42,0,25,90,0
2024-09-19 19:45:44,0,25,90,0
2024-09-19 19:45:46,0,25,90,0
2024-09-19 19:45:48,0,25,90,0
2024-09-19 19:45:50,0,25,90,0
2024-09-19 19:45:52,0,25,90,0
2024-09-19 19:45:54,0,25,90,0
2024-09-19 19:45:56,0,25,90,0
2024-09-19 19:45:58,0,25,90,0
2024-09-19 19:46:00,0,25,90,0
2024-09-19 19:46:02,0,25,90,0
2024-09-19 19:46:04,0,25,90,0
2024-09-19 19:46:06,0,25,90,0
2024-09-19 19:46:08,0,25,90,0
2024-09-19 19:46:10,0,25,90,0
2024-09-19 19:46:12,0,25,90,0
2024-09-19 19:46:14,0,25,90,0
2024-09-19 19:46:16,0,25,90,0
2024-09-19 19:46:18,0,25,90,0
2024-09-19 19:46:21,0,25,90,0
2024-09-19 19:46:23,0,25,90,0
2024-09-19 19:46:25,0,25,90,0
2024-09-19 19:46:27,0,25,90,0
2024-09-19 19:46:29,0,25,90,0
2024-09-19 19:46:31,0,25,90,0
2024-09-19 19:46:33,0,25,90,0
2024-09-19 19:46:35,0,25,90,0
2024-09-19 19:46:37,0,25,90,0
2024-09-19 19:46:39,0,25,90,0
2024-09-19 19:46:41,0,25,90,0
2024-09-19 19:46:43,0,25,90,0
2024-09-19 19:46:45,0,25,90,0
2024-09-19 19:46:47,0,25,90,0
2024-09-19 19:46:49,0,25,90,0
2024-09-19 19:46:51,0,25,90,0
2024-09-19 19:46:53,0,25,90,0
2024-09-19 19:46:55,0,25,90,0
2024-09-19 19:46:57,0,25,90,0
2024-09-19 19:46:59,0,25,90,0
2024-09-19 19:47:01,0,25,90,0
2024-09-19 19:47:04,0,25,90,0
2024-09-19 19:47:06,0,25,90,0
2024-09-19 19:47:08,0,25,90,0
2024-09-19 19:47:10,0,25,90,0
2024-09-19 19:47:12,0,25,90,0
2024-09-19 19:47:14,0,25,90,0
2024-09-19 19:47:16,0,25,90,0
2024-09-19 19:47:18,0,25,90,0
2024-09-19 19:47:20,0,25,90,0
2024-09-19 19:47:22,0,25,90,0
2024-09-19 19:47:24,0,25,90,0
2024-09-19 19:47:26,0,25,90,0
2024-09-19 19:47:28,0,25,90,0
2024-09-19 19:47:30,0,25,90,0
2024-09-19 19:47:32,0,25,90,0
2024-09-19 19:47:34,0,25,90,0
2024-09-19 19:47:36,0,25,90,0
2024-09-19 19:47:38,0,25,90,0
2024-09-19 19:47:40,0,25,90,0
2024-09-19 19:47:42,0,25,90,0
2024-09-19 19:47:44,0,25,90,0
2024-09-19 19:47:46,0,25,90,0
2024-09-19 19:47:49,0,25,90,0
2024-09-19 19:47:51,0,25,90,0
2024-09-19 19:47:53,0,25,90,0
2024-09-19 19:47:55,0,25,90,0
2024-09-19 19:47:57,0,25,90,0
2024-09-19 19:47:59,0,25,90,0
2024-09-19 19:48:01,0,25,90,0
2024-09-19 19:48:03,0,25,90,0
2024-09-19 19:48:05,0,25,90,0
2024-09-19 19:48:07,0,25,90,0
2024-09-19 19:48:09,0,25,90,0
2024-09-19 19:48:11,0,25,90,0
2024-09-19 19:48:13,0,25,90,0
2024-09-19 19:48:15,0,25,90,0
2024-09-19 19:48:17,0,25,90,0
2024-09-19 19:48:19,0,25,90,0
2024-09-19 19:48:21,0,25,90,0
2024-09-19 19:48:23,0,25,90,0
2024-09-19 19:48:25,0,25,90,0
2024-09-19 19:48:27,0,25,90,0
2024-09-19 19:48:29,0,25,90,0
2024-09-19 19:48:31,0,25,90,0
2024-09-19 19:48:34,0,25,90,0
2024-09-19 19:48:36,0,25,90,0
2024-09-19 19:48:38,0,25,90,0
2024-09-19 19:48:40,0,25,90,0
2024-09-19 19:48:42,0,25,90,0
2024-09-19 19:48:44,0,25,90,0
2024-09-19 19:48:46,0,25,90,0
2024-09-19 19:48:48,0,25,90,0
2024-09-19 19:48:50,0,25,90,0
2024-09-19 19:48:52,0,25,90,0
2024-09-19 19:48:54,0,25,90,0
2024-09-19 19:48:56,0,25,90,0
2024-09-19 19:48:58,0,25,90,0
2024-09-19 19:49:00,0,25,90,0
2024-09-19 19:49:02,0,25,90,0
2024-09-19 19:49:04,0,25,90,0
2024-09-19 19:49:06,0,25,90,0
2024-09-19 19:49:08,0,25,90,0
2024-09-19 19:49:10,0,25,90,0
2024-09-19 19:49:12,0,25,90,0
2024-09-19 19:49:14,0,25,90,0
2024-09-19 19:49:16,0,25,90,0
2024-09-19 19:49:19,0,25,90,0
2024-09-19 19:49:21,0,25,90,0
2024-09-19 19:49:23,0,25,90,0
2024-09-19 19:49:25,0,25,90,0
2024-09-19 19:49:27,0,25,90,0
2024-09-19 19:49:29,0,25,90,0
2024-09-19 19:49:31,0,25,90,0
2024-09-19 19:49:33,0,25,90,0
2024-09-19 19:49:35,0,25,90,0
2024-09-19 19:49:37,0,25,90,0
2024-09-19 19:49:39,0,25,90,0
2024-09-19 19:49:41,0,25,90,0
2024-09-19 19:49:43,0,25,90,0
2024-09-19 19:49:45,0,25,90,0
2024-09-19 19:49:47,0,25,90,0
2024-09-19 19:49:49,0,25,90,0
2024-09-19 19:49:51,0,25,90,0
2024-09-19 19:49:53,0,25,90,0
2024-09-19 19:49:55,0,25,90,0
2024-09-19 19:49:57,0,25,90,0
2024-09-19 19:49:59,0,25,90,0
2024-09-19 19:50:01,0,25,90,0
2024-09-19 19:50:04,0,25,90,0
2024-09-19 19:50:06,0,25,90,0
2024-09-19 19:50:08,0,25,90,0
2024-09-19 19:50:10,0,25,90,0
2024-09-19 19:50:12,0,25,90,0
2024-09-19 19:50:14,0,25,90,0
2024-09-19 19:50:16,0,25,90,0
2024-09-19 19:50:18,0,25,90,0
2024-09-19 19:50:20,0,25,90,0
2024-09-19 19:50:22,0,25,90,0
2024-09-19 19:50:24,0,25,90,0
2024-09-19 19:50:26,0,25,90,0
2024-09-19 19:50:28,0,25,90,0
2024-09-19 19:50:30,0,25,90,0
2024-09-19 19:50:32,0,25,90,0
2024-09-19 19:50:34,0,25,90,0
2024-09-19 19:50:36,0,25,90,0
2024-09-19 19:50:38,0,25,90,0
2024-09-19 19:50:40,0,25,90,0
2024-09-19 19:50:42,0,25,90,0
2024-09-19 19:50:44,0,25,90,0
2024-09-19 19:50:46,0,25,90,0
2024-09-19 19:50:49,0,25,90,0
2024-09-19 19:50:51,0,25,90,0
2024-09-19 19:50:53,0,25,90,0
2024-09-19 19:50:55,0,25,90,0
2024-09-19 19:50:57,0,25,90,0
2024-09-19 19:50:59,0,25,90,0
2024-09-19 19:51:01,0,25,90,0
2024-09-19 19:51:03,0,25,90,0
2024-09-19 19:51:05,0,25,90,0
2024-09-19 19:51:07,0,25,90,0
2024-09-19 19:51:09,0,25,90,0
2024-09-19 19:51:11,0,25,90,0
2024-09-19 19:51:13,0,25,90,0
2024-09-19 19:51:15,0,25,90,0
2024-09-19 19:51:17,0,25,90,0
2024-09-19 19:51:19,0,25,90,0
2024-09-19 19:51:21,0,25,90,0
2024-09-19 19:51:23,0,25,90,0
2024-09-19 19:51:25,0,25,90,0
2024-09-19 19:51:27,0,25,90,0
2024-09-19 19:51:29,0,25,90,0
2024-09-19 19:51:31,0,25,90,0
2024-09-19 19:51:34,0,25,90,0
2024-09-19 19:51:36,0,25,90,0
2024-09-19 19:51:38,0,25,90,0
2024-09-19 19:51:40,0,25,90,0
2024-09-19 19:51:42,0,25,90,0
2024-09-19 19:51:44,0,25,90,0
2024-09-19 19:51:46,0,25,90,0
2024-09-19 19:51:48,0,25,90,0
2024-09-19 19:51:50,0,25,90,0
2024-09-19 19:51:52,0,25,90,0
2024-09-19 19:51:54,0,25,90,0
2024-09-19 19:51:56,0,25,90,0
2024-09-19 19:51:58,0,25,90,0
2024-09-19 19:52:00,0,25,90,0
2024-09-19 19:52:02,0,25,90,0
2024-09-19 19:52:04,0,25,90,0
2024-09-19 19:52:06,0,25,90,0
2024-09-19 19:52:08,0,25,90,0
2024-09-19 19:52:10,0,25,90,0
2024-09-19 19:52:12,0,25,90,0
2024-09-19 19:52:14,0,25,90,0
2024-09-19 19:52:17,0,25,90,0
2024-09-19 19:52:19,0,25,90,0
2024-09-19 19:52:21,0,25,90,0
2024-09-19 19:52:23,0,25,90,0
2024-09-19 19:52:25,0,25,90,0
2024-09-19 19:52:27,0,25,90,0
2024-09-19 19:52:29,0,25,90,0
